Name,Lat,Lon,SiteID
CSG-QATK15,15.571760,108.466190,QATK15
CSG-QATK18,15.572510,108.483330,QATK18
CSG-QATK22,15.559300,108.451500,QATK22
CSG-QATK23,15.561990,108.490740,QATK23
CSG-QATK24,15.566840,108.479230,QATK24
CSG-QATK34,15.556093,108.478029,QATK34
CSG-QATK37,15.580350,108.465610,QATK37
CSG-QATK41,15.547920,108.494300,QATK41
CSG-QATK42,15.561270,108.511910,QATK42
CSG-QATK43,15.587150,108.471650,QATK43
CSG-QATK44,15.584890,108.526510,QATK44
CSG-QATK47,15.580200,108.478950,QATK47
CSG-QATKMA01,15.564947,108.493529,QATK39
CSG-QATKMA01_2,15.564947,108.493529,QATK39
CSG-QATKPO_2,15.579387,108.473777,QATK71
CSG-QATKPO_3,15.579387,108.473777,QATK71
CSG-BDAN02,13.925100,109.088390,BDAN02
CSG-BDAN06,13.934847,109.144213,BDAN06
CSG-BDAN07,13.909714,109.018394,BDAN07
CSG-BDAN11,13.856120,109.059810,BDAN11
CSG-BDAN16,13.911530,109.092420,BDAN16
CSG-BDAN18,13.897400,109.108110,BDAN18
CSG-BDAN25,13.894150,109.088470,BDAN25
CSG-BDAN26,13.943910,109.064990,BDAN26
CSG-BDAN27,13.869480,109.127840,BDAN27
CSG-BDAN28,13.882650,109.109480,BDAN28
CSG-BDANMA01,13.869726,109.127244,BDANMA01
CSG-BDHA02,14.420880,108.942310,BDHA02
CSG-BDHA15,14.378860,108.968230,BDHA15
CSG-BDHN05,14.467630,109.097680,BDHN05
CSG-BDHN06,14.447480,109.019180,BDHN06
CSG-BDHN07,14.591010,109.035450,BDHN07
CSG-BDHN08,14.495780,109.033940,BDHN08
CSG-BDHN12,14.521050,109.075830,BDHN12
CSG-BDHN13,14.544140,109.003810,BDHN13
CSG-BDHN15,14.556500,109.045160,BDHN15
CSG-BDHN33_2,14.428240,109.010240,BDHN33
CSG-BDHN33_3,14.428240,109.010240,BDHN33
CSG-BDHN36,14.542290,109.064120,BDHN36
CSG-BDHN42,14.559380,109.055630,BDHN42
