BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Quảng Trị#CAX#Nam Cửa Việt,16.86187,107.1743,QTTP15,16.84789,107.19601,CSG,2,,4.5751,Success
Quảng Trị#CAX#Triệu Cơ,16.76343,107.2432,QTTP05,16.77026,107.25003,CSG,2,,1.4371,Success
Quảng Trị#CAX#Nam Đông Hà,16.81566,107.1054,QTDH17,16.81484,107.10338,CSG,2,,0.7079,Success
Quảng Trị#CAX#Triệu Phong,16.7704,107.168,QTTP10,16.7875,107.18053,CSG,2,,2.9746,Success
Quảng Trị#CAX#Ái Tử,16.791,107.1727,QTTP10,16.7875,107.18053,CSG,2,,1.6668,Success
Quảng Trị#CAX#Hải Lăng,16.7306,107.2084,QTHL05,16.73364,107.20556,CSG,2,,0.5441,Success
Quảng Trị#CAX#Ba Lòng,16.6599,106.9511,QTCL02,16.74525,106.9641,CSG,2,,34.369,Success
Quảng Trị#CAX#Đakrông,16.65462,106.7961,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Hướng Phùng,16.73454,106.5769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Hướng Lập,16.88643,106.569,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Tân Lập,16.616,106.7009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Lao Bảo,16.60345,106.6298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#Lìa,16.4859,106.7016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Quảng Trị#CAX#A Dơi,16.4777,106.7451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
